1:David Boreanaz-[['a black tea', 'large', 'a chocolate caramel shortbread'], ['a black tea', 'large', 'a chocolate caramel shortbread'], ['a black tea', 'large', 'a chocolate caramel shortbread']]
43:Laura Linney-[['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', '']]
44:Charlize Theron-[['a flat white', 'small', 'a classic oatmeal'], ['a flat white', 'small', 'a classic oatmeal'], ['a flat white', 'small', 'a classic oatmeal']]
45:Teri Hatcher-[['an espresso', 'large', 'an everything bagel'], ['an espresso', 'large', 'an everything bagel'], ['an espresso', 'large', 'an everything bagel']]
46:Jessica Capshaw-[['a salted caramel hot chocolate', 'medium', ''], ['a salted caramel hot chocolate', 'medium', ''], ['a salted caramel hot chocolate', 'medium', '']]
47:Kaley Cuoco-[['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', '']]
48:Jonny Lee Miller-[['an espresso macchiato', 'medium', 'a gingerbread cookie'], ['an espresso macchiato', 'medium', 'a gingerbread cookie'], ['an espresso macchiato', 'medium', 'a gingerbread cookie']]
49:Jensen Ackles-[['a breakfast tea', 'large', 'a plain bagel'], ['a breakfast tea', 'large', 'a plain bagel'], ['a breakfast tea', 'large', 'a plain bagel']]
50:Ginnifer Goodwin-[['an espresso macchiato', 'medium', 'a breakfast tortilla wrap'], ['an espresso macchiato', 'medium', 'a breakfast tortilla wrap'], ['an espresso macchiato', 'medium', 'a breakfast tortilla wrap']]
51:James Spader-[['an americano', 'medium', 'a classic oatmeal'], ['an americano', 'medium', 'a classic oatmeal'], ['an americano', 'medium', 'a classic oatmeal']]
52:Lena Dunham-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
53:Robert Pattinson-[['a latte', 'small', ''], ['a latte', 'small', ''], ['a latte', 'small', '']]
54:Hugh Laurie-[['a black tea', 'medium', 'a gingerbread cookie'], ['a black tea', 'medium', 'a gingerbread cookie'], ['a black tea', 'medium', 'a gingerbread cookie']]
55:RuPaul-[['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', '']]
56:Simon Baker-[['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
57:Andrew Lincoln-[['a noisette', 'large', 'a blueberry oatmeal'], ['a noisette', 'large', 'a blueberry oatmeal'], ['a noisette', 'large', 'a blueberry oatmeal']]
58:Miles Teller-[['a mocha', 'medium', ''], ['a mocha', 'medium', ''], ['a mocha', 'medium', '']]
59:Roseanne Barr-[['a green tea', 'medium', ''], ['a green tea', 'medium', ''], ['a green tea', 'medium', '']]
60:Cate Blanchett-[['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', '']]
61:Timothy Olyphant-[['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie']]
62:Kristen Stewart-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
63:John Noble-[['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', '']]
64:Jeffrey Donovan-[['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut'], ['an espresso macchiato', 'medium', 'a doughnut']]
65:Shane West-[['a latte', 'medium', 'a croissant'], ['a latte', 'medium', 'a croissant'], ['a latte', 'medium', 'a croissant']]
66:Felicity Huffman-[['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', '']]
67:Leonardo DiCaprio-[['a mocha', 'large', 'a slice of banana bread'], ['a mocha', 'large', 'a slice of banana bread'], ['a mocha', 'large', 'a slice of banana bread']]
68:Aaron Paul-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
69:Matthew Rhys-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', '']]
70:Joel Kinnaman-[['a breakfast tea', 'large', 'a pain au chocolat'], ['a breakfast tea', 'large', 'a pain au chocolat'], ['a breakfast tea', 'large', 'a pain au chocolat']]
71:Paul Reiser-[['a peppermint hot chocolate', 'small', 'a lemon pound cake'], ['a peppermint hot chocolate', 'small', 'a lemon pound cake'], ['a peppermint hot chocolate', 'small', 'a lemon pound cake']]
72:Ty Burrell-[['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', '']]
73:Kevin Costner-[['a peppermint hot chocolate', 'small', 'a pain au chocolat'], ['a peppermint hot chocolate', 'small', 'a pain au chocolat'], ['a peppermint hot chocolate', 'small', 'a pain au chocolat']]
74:Jennifer Lawrence-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
75:Ariana Grande-[['a latte', 'medium', 'a doughnut'], ['a latte', 'medium', 'a doughnut'], ['a latte', 'medium', 'a doughnut']]
76:Mireille Enos-[['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', '']]
77:Robin Tunney-[['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal'], ['an Earl Grey', 'large', 'a blueberry oatmeal']]
78:Julie Bowen-[['a mocha', 'medium', 'a double chocolate muffin'], ['a mocha', 'medium', 'a double chocolate muffin'], ['a mocha', 'medium', 'a double chocolate muffin']]
79:Leighton Meester-[['a green tea', 'large', 'a pain au chocolat'], ['a green tea', 'large', 'a pain au chocolat'], ['a green tea', 'large', 'a pain au chocolat']]
80:Cote de Pablo-[['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel'], ['a white hot chocolate', 'large', 'a plain bagel']]
81:David Schwimmer-[['a salted caramel hot chocolate', 'large', 'a pain au chocolat'], ['a salted caramel hot chocolate', 'large', 'a pain au chocolat'], ['a salted caramel hot chocolate', 'large', 'a pain au chocolat']]
82:Kevin Bacon-[['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', '']]
83:Jim Caviezel-[['a white hot chocolate', 'small', 'a chocolate chip muffin'], ['a white hot chocolate', 'small', 'a chocolate chip muffin'], ['a white hot chocolate', 'small', 'a chocolate chip muffin']]
84:Ashley Benson-[['a peppermint hot chocolate', 'small', 'an almond croissant'], ['a peppermint hot chocolate', 'small', 'an almond croissant'], ['a peppermint hot chocolate', 'small', 'an almond croissant']]
85:Matt Smith-[['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', '']]
86:Joshua Jackson-[['a peppermint hot chocolate', 'small', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'small', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'small', 'a chocolate chip muffin']]
87:Matthew McConaughey-[['a flat white', 'large', ''], ['a flat white', 'large', ''], ['a flat white', 'large', '']]
88:Brad Pitt-[['an iced hot chocolate', 'small', 'an almond croissant'], ['an iced hot chocolate', 'small', 'an almond croissant'], ['an iced hot chocolate', 'small', 'an almond croissant']]
89:Ryan Gosling-[['a cordusio', 'medium', 'a classic oatmeal'], ['a cordusio', 'medium', 'a classic oatmeal'], ['a cordusio', 'medium', 'a classic oatmeal']]
90:Melissa Joan Hart-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
91:Angie Harmon-[['a green tea', 'medium', 'a double chocolate muffin'], ['a green tea', 'medium', 'a double chocolate muffin'], ['a green tea', 'medium', 'a double chocolate muffin']]
92:Noah Wyle-[['a mocha', 'large', 'a chocolate chip muffin'], ['a mocha', 'large', 'a chocolate chip muffin'], ['a mocha', 'large', 'a chocolate chip muffin']]
93:Sarah Michelle Gellar-[['a white hot chocolate', 'large', 'a gingerbread cookie'], ['a white hot chocolate', 'large', 'a gingerbread cookie'], ['a white hot chocolate', 'large', 'a gingerbread cookie']]
94:Kodi Smit-McPhee-[['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', '']]
95:Chloe Grace Moretz-[['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', '']]
96:Angelina Jolie-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
97:Jake Johnson-[['a black tea', 'large', ''], ['a black tea', 'large', ''], ['a black tea', 'large', '']]
98:Johnny Depp-[['a latte', 'medium', 'a lemon pound cake'], ['a latte', 'medium', 'a lemon pound cake'], ['a latte', 'medium', 'a lemon pound cake']]
99:Michael Emerson-[['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', '']]
100:Matthew Morrison-[['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
