1 Hello ! Which drink can I get for you ?
1 Hello ! Which drink can I get for you today ?
1 Hello ! Which drink would you like to have ?
1 Hello ! Which drink would you like today ?
1 Hi ! Which drink can I get for you ?
1 Hi ! Which drink can I get for you today ?
1 Hi ! Which drink would you like to have ?
1 Hi ! Which drink would you like today ?
1 Welcome to Botista ! Which drink can I get for you ?
1 Welcome to Botista ! Which drink can I get for you today ?
1 Welcome to Botista ! Which drink would you like to have ?
1 Welcome to Botista ! Which drink would you like today ?
1 Welcome to the coffee heaven ! Which drink can I get for you ?
1 Welcome to the coffee heaven ! Which drink can I get for you today ?
1 Welcome to the coffee heaven ! Which drink would you like to have ?
1 Welcome to the coffee heaven ! Which drink would you like today ?
1 Great ! Can I take your name ? api_call getCustomerName
1 Perfect ! What would be the name ? api_call getCustomerName
1 May I take your name , please ? api_call getCustomerName
1 Your order will be ready at the next counter , Patricia .
1 You can pick up your order at the next counter , Patricia .
1 We will get that ready for you at the next counter , Patricia .
1 Your order will be ready at the next counter , Ashton .
1 You can pick up your order at the next counter , Ashton .
1 We will get that ready for you at the next counter , Ashton .
1 Your order will be ready at the next counter , Fred .
1 You can pick up your order at the next counter , Fred .
1 We will get that ready for you at the next counter , Fred .
1 Your order will be ready at the next counter , Victor .
1 You can pick up your order at the next counter , Victor .
1 We will get that ready for you at the next counter , Victor .
1 Your order will be ready at the next counter , Kit .
1 You can pick up your order at the next counter , Kit .
1 We will get that ready for you at the next counter , Kit .
1 Your order will be ready at the next counter , Christian .
1 You can pick up your order at the next counter , Christian .
1 We will get that ready for you at the next counter , Christian .
1 Your order will be ready at the next counter , Daniel .
1 You can pick up your order at the next counter , Daniel .
1 We will get that ready for you at the next counter , Daniel .
1 Your order will be ready at the next counter , Sean .
1 You can pick up your order at the next counter , Sean .
1 We will get that ready for you at the next counter , Sean .
1 Which size ?
1 Which size would you like ?
1 Which size for the cup ?
1 Would you like anything else with that ?
1 Anything else ?
1 Would you like a delicious snack with that ?
1 Can I offer you anything to go with your drink ?
1 Your order will be ready at the next counter .
1 You can pick up your order at the next counter .
1 We will get that ready for you at the next counter .
1 So that would be a large black tea . Is that right ?
1 So that would be a large black tea . Did I get that right ?
1 Your order is a large black tea . Is that right ?
1 Your order is a large black tea . Did I get that right ?
1 So that would be a medium noisette . Is that right ?
1 So that would be a medium noisette . Did I get that right ?
1 Your order is a medium noisette . Is that right ?
1 Your order is a medium noisette . Did I get that right ?
1 So that would be a small black tea . Is that right ?
1 So that would be a small black tea . Did I get that right ?
1 Your order is a small black tea . Is that right ?
1 Your order is a small black tea . Did I get that right ?
1 So that would be a large iced hot chocolate . Is that right ?
1 So that would be a large iced hot chocolate . Did I get that right ?
1 Your order is a large iced hot chocolate . Is that right ?
1 Your order is a large iced hot chocolate . Did I get that right ?
1 So that would be a small iced hot chocolate . Is that right ?
1 So that would be a small iced hot chocolate . Did I get that right ?
1 Your order is a small iced hot chocolate . Is that right ?
1 Your order is a small iced hot chocolate . Did I get that right ?
1 So that would be a medium latte . Is that right ?
1 So that would be a medium latte . Did I get that right ?
1 Your order is a medium latte . Is that right ?
1 Your order is a medium latte . Did I get that right ?
1 So that would be a small flat white . Is that right ?
1 So that would be a small flat white . Did I get that right ?
1 Your order is a small flat white . Is that right ?
1 Your order is a small flat white . Did I get that right ?
1 So that would be a medium cappuccino . Is that right ?
1 So that would be a medium cappuccino . Did I get that right ?
1 Your order is a medium cappuccino . Is that right ?
1 Your order is a medium cappuccino . Did I get that right ?
1 So that would be a medium peppermint hot chocolate . Is that right ?
1 So that would be a medium peppermint hot chocolate . Did I get that right ?
1 Your order is a medium peppermint hot chocolate . Is that right ?
1 Your order is a medium peppermint hot chocolate . Did I get that right ?
1 So that would be a medium hot chocolate . Is that right ?
1 So that would be a medium hot chocolate . Did I get that right ?
1 Your order is a medium hot chocolate . Is that right ?
1 Your order is a medium hot chocolate . Did I get that right ?
1 So that would be a small cordusio . Is that right ?
1 So that would be a small cordusio . Did I get that right ?
1 Your order is a small cordusio . Is that right ?
1 Your order is a small cordusio . Did I get that right ?
1 So that would be a large peppermint hot chocolate . Is that right ?
1 So that would be a large peppermint hot chocolate . Did I get that right ?
1 Your order is a large peppermint hot chocolate . Is that right ?
1 Your order is a large peppermint hot chocolate . Did I get that right ?
1 So that would be a small caramel macchiato . Is that right ?
1 So that would be a small caramel macchiato . Did I get that right ?
1 Your order is a small caramel macchiato . Is that right ?
1 Your order is a small caramel macchiato . Did I get that right ?
1 So that would be a large americano . Is that right ?
1 So that would be a large americano . Did I get that right ?
1 Your order is a large americano . Is that right ?
1 Your order is a large americano . Did I get that right ?
1 So that would be a small espresso macchiato . Is that right ?
1 So that would be a small espresso macchiato . Did I get that right ?
1 Your order is a small espresso macchiato . Is that right ?
1 Your order is a small espresso macchiato . Did I get that right ?
1 So that would be a large espresso macchiato . Is that right ?
1 So that would be a large espresso macchiato . Did I get that right ?
1 Your order is a large espresso macchiato . Is that right ?
1 Your order is a large espresso macchiato . Did I get that right ?
1 So that would be a small espresso . Is that right ?
1 So that would be a small espresso . Did I get that right ?
1 Your order is a small espresso . Is that right ?
1 Your order is a small espresso . Did I get that right ?
1 So that would be a medium cordusio . Is that right ?
1 So that would be a medium cordusio . Did I get that right ?
1 Your order is a medium cordusio . Is that right ?
1 Your order is a medium cordusio . Did I get that right ?
1 So that would be a small green tea . Is that right ?
1 So that would be a small green tea . Did I get that right ?
1 Your order is a small green tea . Is that right ?
1 Your order is a small green tea . Did I get that right ?
1 So that would be a large white hot chocolate . Is that right ?
1 So that would be a large white hot chocolate . Did I get that right ?
1 Your order is a large white hot chocolate . Is that right ?
1 Your order is a large white hot chocolate . Did I get that right ?
1 So that would be a large salted caramel hot chocolate . Is that right ?
1 So that would be a large salted caramel hot chocolate . Did I get that right ?
1 Your order is a large salted caramel hot chocolate . Is that right ?
1 Your order is a large salted caramel hot chocolate . Did I get that right ?
1 So that would be a medium Earl Grey . Is that right ?
1 So that would be a medium Earl Grey . Did I get that right ?
1 Your order is a medium Earl Grey . Is that right ?
1 Your order is a medium Earl Grey . Did I get that right ?
1 So that would be a medium black tea . Is that right ?
1 So that would be a medium black tea . Did I get that right ?
1 Your order is a medium black tea . Is that right ?
1 Your order is a medium black tea . Did I get that right ?
1 So that would be a small breakfast tea . Is that right ?
1 So that would be a small breakfast tea . Did I get that right ?
1 Your order is a small breakfast tea . Is that right ?
1 Your order is a small breakfast tea . Did I get that right ?
1 So that would be a medium americano . Is that right ?
1 So that would be a medium americano . Did I get that right ?
1 Your order is a medium americano . Is that right ?
1 Your order is a medium americano . Did I get that right ?
1 So that would be a small americano . Is that right ?
1 So that would be a small americano . Did I get that right ?
1 Your order is a small americano . Is that right ?
1 Your order is a small americano . Did I get that right ?
1 So that would be a small salted caramel hot chocolate . Is that right ?
1 So that would be a small salted caramel hot chocolate . Did I get that right ?
1 Your order is a small salted caramel hot chocolate . Is that right ?
1 Your order is a small salted caramel hot chocolate . Did I get that right ?
1 So that would be a medium espresso con panna . Is that right ?
1 So that would be a medium espresso con panna . Did I get that right ?
1 Your order is a medium espresso con panna . Is that right ?
1 Your order is a medium espresso con panna . Did I get that right ?
1 So that would be a small hot chocolate . Is that right ?
1 So that would be a small hot chocolate . Did I get that right ?
1 Your order is a small hot chocolate . Is that right ?
1 Your order is a small hot chocolate . Did I get that right ?
1 So that would be a medium flat white . Is that right ?
1 So that would be a medium flat white . Did I get that right ?
