1:Troian Bellisario-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
22:Melissa Joan Hart-[['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
23:Roseanne Barr-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
24:Ellen Pompeo-[['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin'], ['a green tea', 'small', 'a blueberry muffin']]
25:Joel Kinnaman-[['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal'], ['an Earl Grey', 'medium', 'a classic oatmeal']]
26:Lea Michele-[['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie'], ['a salted caramel hot chocolate', 'small', 'a gingerbread cookie']]
27:Teri Hatcher-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
28:Will Smith-[['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', '']]
29:Chris Colfer-[['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', ''], ['a green tea', 'small', '']]
30:Jane Lynch-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
31:Melissa McBride-[['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake'], ['a noisette', 'medium', 'a lemon pound cake']]
32:Brad Pitt-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
33:Anna Torv-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
34:Jesse Tyler Ferguson-[['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat'], ['a cappuccino', 'medium', 'a pain au chocolat']]
35:Josh Radnor-[['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', '']]
36:Kaley Cuoco-[['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin'], ['an iced hot chocolate', 'medium', 'a double chocolate muffin']]
37:Mireille Enos-[['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins'], ['a cappuccino', 'small', 'a pain aux raisins']]
38:David Boreanaz-[['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat'], ['a white hot chocolate', 'large', 'a pain au chocolat']]
39:Joshua Jackson-[['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie'], ['a green tea', 'large', 'a gingerbread cookie']]
40:Kevin Bacon-[['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
41:Channing Tatum-[['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal'], ['a cordusio', 'small', 'a blueberry oatmeal']]
42:RuPaul-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
