1:Damian Lewis-[['a flat white', 'small', 'a chocolate chip muffin'], ['a green tea', 'small', ''], ['a breakfast tea', 'small', '']]
17:Taylor Schilling-[['a noisette', 'large', ''], ['an espresso', 'small', ''], ['a flat white', 'small', '']]
18:Angie Harmon-[['a breakfast tea', 'small', 'a classic oatmeal'], ['a breakfast tea', 'small', 'a classic oatmeal'], ['a green tea', 'medium', '']]
19:Justin Chambers-[['a breakfast tea', 'medium', 'a doughnut'], ['a breakfast tea', 'medium', 'a doughnut'], ['an espresso', 'large', 'a breakfast tortilla wrap']]
20:Jonny Lee Miller-[['a breakfast tea', 'small', ''], ['a peppermint hot chocolate', 'small', ''], ['a breakfast tea', 'small', 'a gingerbread cookie']]
21:Channing Tatum-[['an espresso', 'large', ''], ['a green tea', 'medium', ''], ['a green tea', 'medium', '']]
22:Troian Bellisario-[['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a breakfast tea', 'small', 'a chocolate caramel shortbread']]
23:Zoe Saldana-[['an americano', 'small', 'an everything bagel'], ['an americano', 'small', 'an everything bagel'], ['an americano', 'small', 'an everything bagel']]
24:John Slattery-[['a flat white', 'medium', 'a lemon pound cake'], ['an espresso con panna', 'small', 'a plain bagel'], ['an iced hot chocolate', 'medium', '']]
25:Miles Teller-[['an espresso con panna', 'large', ''], ['an espresso macchiato', 'medium', 'an almond croissant'], ['an espresso macchiato', 'medium', 'an almond croissant']]
26:Julie Bowen-[['an espresso con panna', 'small', 'a chocolate caramel shortbread'], ['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', '']]
27:Leighton Meester-[['an espresso macchiato', 'medium', ''], ['a black tea', 'large', 'a pain aux raisins'], ['a black tea', 'large', 'a pain aux raisins']]
28:Alyson Hannigan-[['a latte', 'small', 'a breakfast tortilla wrap'], ['a green tea', 'medium', 'a lemon pound cake'], ['a green tea', 'medium', 'a lemon pound cake']]
29:Jake Johnson-[['a latte', 'small', ''], ['a breakfast tea', 'large', ''], ['a breakfast tea', 'large', '']]
30:David Boreanaz-[['a breakfast tea', 'medium', 'a croissant'], ['a cordusio', 'small', ''], ['a breakfast tea', 'small', 'a gingerbread cookie']]
31:Emily Deschanel-[['a mocha', 'medium', 'a lemon pound cake'], ['a white hot chocolate', 'large', 'a veggie tortilla wrap'], ['a white hot chocolate', 'large', 'a veggie tortilla wrap']]
32:Ginnifer Goodwin-[['a cappuccino', 'small', 'a chocolate caramel shortbread'], ['an espresso con panna', 'medium', 'a lemon pound cake'], ['an iced hot chocolate', 'small', '']]
33:Mark Harmon-[['a latte', 'large', 'a chocolate caramel shortbread'], ['a latte', 'large', 'a chocolate caramel shortbread'], ['an espresso con panna', 'large', '']]
34:Roseanne Barr-[['a white hot chocolate', 'small', 'a classic oatmeal'], ['a noisette', 'large', ''], ['a white hot chocolate', 'large', '']]
35:Ty Burrell-[['a cappuccino', 'medium', 'a carrot cake'], ['a cappuccino', 'medium', 'a carrot cake'], ['a cappuccino', 'medium', 'a carrot cake']]
36:Matthew Rhys-[['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a green tea', 'small', 'a blueberry oatmeal']]
37:Jessica Capshaw-[['a mocha', 'medium', 'a lemon pound cake'], ['a mocha', 'medium', 'a lemon pound cake'], ['a mocha', 'medium', 'a lemon pound cake']]
38:Sandra Oh-[['a salted caramel hot chocolate', 'small', 'a pain au chocolat'], ['a white hot chocolate', 'small', 'a plain bagel'], ['an Earl Grey', 'medium', 'a chocolate caramel shortbread']]
39:Patrick Dempsey-[['an americano', 'medium', 'a blueberry muffin'], ['an americano', 'medium', 'a blueberry muffin'], ['an americano', 'medium', 'a blueberry muffin']]
40:Robin Tunney-[['a caramel macchiato', 'small', ''], ['a cordusio', 'large', 'a double chocolate muffin'], ['an Earl Grey', 'large', '']]
41:Aaron Paul-[['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', '']]
42:Anne Hathaway-[['an iced hot chocolate', 'large', 'a croissant'], ['a peppermint hot chocolate', 'large', ''], ['a green tea', 'medium', 'a blueberry muffin']]
43:Brad Pitt-[['a black tea', 'large', 'a plain bagel'], ['a caramel macchiato', 'medium', 'a croissant'], ['a cordusio', 'medium', '']]
44:Melissa McBride-[['an espresso macchiato', 'large', 'a gingerbread cookie'], ['a green tea', 'medium', 'a lemon pound cake'], ['a green tea', 'medium', 'a lemon pound cake']]
45:Michael Emerson-[['a latte', 'small', 'a plain bagel'], ['a latte', 'small', 'a plain bagel'], ['an Earl Grey', 'large', 'a croissant']]
46:Charlie Hunnam-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
47:Kevin Bacon-[['an espresso macchiato', 'large', ''], ['an Earl Grey', 'large', ''], ['a black tea', 'medium', 'a carrot cake']]
48:Joel McHale-[['a breakfast tea', 'large', 'a breakfast tortilla wrap'], ['a flat white', 'large', ''], ['an Earl Grey', 'medium', 'a plain bagel']]
49:Mindy Kaling-[['an americano', 'large', 'a slice of banana bread'], ['an americano', 'large', 'a slice of banana bread'], ['a noisette', 'small', '']]
50:Ellen Pompeo-[['a cappuccino', 'large', 'an almond croissant'], ['a breakfast tea', 'small', ''], ['a noisette', 'medium', '']]
51:Josh Radnor-[['a salted caramel hot chocolate', 'medium', ''], ['a salted caramel hot chocolate', 'medium', ''], ['a caramel macchiato', 'medium', '']]
52:Matt Smith-[['a peppermint hot chocolate', 'medium', 'a gingerbread cookie'], ['a cappuccino', 'large', ''], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie']]
53:AnnaLynne McCord-[['an espresso macchiato', 'small', ''], ['a cappuccino', 'large', ''], ['a noisette', 'small', '']]
54:Shane West-[['a peppermint hot chocolate', 'large', 'a pain au chocolat'], ['an iced hot chocolate', 'medium', 'a chocolate caramel shortbread'], ['an americano', 'large', '']]
55:Angelina Jolie-[['a black tea', 'large', 'a plain bagel'], ['a hot chocolate', 'medium', 'a chocolate chip muffin'], ['a hot chocolate', 'medium', 'a chocolate chip muffin']]
56:Simon Baker-[['a breakfast tea', 'medium', 'a classic oatmeal'], ['a breakfast tea', 'medium', 'a classic oatmeal'], ['a white hot chocolate', 'large', 'a blueberry muffin']]
57:Johnny Depp-[['a caramel macchiato', 'medium', ''], ['a white hot chocolate', 'large', ''], ['a hot chocolate', 'medium', 'a breakfast tortilla wrap']]
58:Keri Russell-[['a green tea', 'large', 'a lemon pound cake'], ['a caramel macchiato', 'medium', 'an everything bagel'], ['a latte', 'small', 'a chocolate chip muffin']]
59:John Noble-[['a latte', 'small', ''], ['a latte', 'small', ''], ['a salted caramel hot chocolate', 'medium', 'a carrot cake']]
60:Timothy Olyphant-[['a black tea', 'large', ''], ['a hot chocolate', 'large', ''], ['a flat white', 'small', 'a croissant']]
61:Paul Reiser-[['a cordusio', 'large', ''], ['a black tea', 'large', 'a breakfast tortilla wrap'], ['a mocha', 'small', '']]
62:Jane Lynch-[['a flat white', 'small', ''], ['an americano', 'small', ''], ['an espresso', 'small', '']]
63:Jeffrey Donovan-[['a caramel macchiato', 'small', ''], ['a green tea', 'large', 'a slice of banana bread'], ['a green tea', 'large', 'a slice of banana bread']]
64:Chris Colfer-[['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', '']]
65:Ariana Grande-[['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['a black tea', 'medium', 'a gingerbread cookie']]
66:Melissa Joan Hart-[['a salted caramel hot chocolate', 'small', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'small', 'a chocolate chip cookie'], ['a mocha', 'medium', '']]
67:Lea Michele-[['an iced hot chocolate', 'small', ''], ['a flat white', 'medium', 'a lemon pound cake'], ['a mocha', 'small', '']]
68:Matt Bomer-[['an espresso', 'small', 'a plain bagel'], ['an espresso', 'small', 'a plain bagel'], ['an espresso macchiato', 'medium', 'a veggie tortilla wrap']]
69:Anna Torv-[['an espresso con panna', 'small', 'a carrot cake'], ['a salted caramel hot chocolate', 'medium', 'a blueberry muffin'], ['a mocha', 'medium', '']]
70:Mark Wahlberg-[['an espresso', 'small', 'a gingerbread cookie'], ['a noisette', 'small', 'a pain aux raisins'], ['a hot chocolate', 'small', '']]
71:Zac Efron-[['a peppermint hot chocolate', 'large', 'a chocolate chip muffin'], ['an iced hot chocolate', 'medium', 'a veggie tortilla wrap'], ['a black tea', 'small', '']]
72:Mireille Enos-[['a black tea', 'medium', ''], ['a black tea', 'medium', ''], ['a white hot chocolate', 'small', 'a veggie tortilla wrap']]
73:Teri Hatcher-[['a peppermint hot chocolate', 'small', ''], ['a peppermint hot chocolate', 'small', ''], ['an espresso macchiato', 'large', 'a croissant']]
74:Kristen Stewart-[['an espresso', 'small', 'a blueberry oatmeal'], ['an espresso', 'small', 'a blueberry oatmeal'], ['an americano', 'medium', '']]
75:Stephen Amell-[['an americano', 'medium', ''], ['a cordusio', 'small', 'a veggie tortilla wrap'], ['a cordusio', 'small', 'a veggie tortilla wrap']]
76:RuPaul-[['an americano', 'medium', 'a plain bagel'], ['a mocha', 'medium', ''], ['an espresso', 'medium', '']]
77:Alison Brie-[['an espresso macchiato', 'large', ''], ['an americano', 'large', 'a lemon pound cake'], ['an americano', 'large', 'a lemon pound cake']]
78:Hugh Laurie-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['a mocha', 'small', '']]
79:Ed Westwick-[['a cappuccino', 'small', 'a slice of banana bread'], ['a cappuccino', 'small', 'a slice of banana bread'], ['a cappuccino', 'small', 'a slice of banana bread']]
80:America Ferrera-[['an espresso macchiato', 'large', 'a plain bagel'], ['an espresso macchiato', 'large', 'a plain bagel'], ['an espresso macchiato', 'large', 'a plain bagel']]
81:Jensen Ackles-[['a mocha', 'medium', ''], ['a white hot chocolate', 'small', 'a veggie tortilla wrap'], ['a black tea', 'large', '']]
82:Laura Linney-[['a cordusio', 'small', 'a pain aux raisins'], ['a flat white', 'small', 'a slice of banana bread'], ['a flat white', 'small', 'a slice of banana bread']]
83:Felicity Huffman-[['a black tea', 'large', ''], ['a hot chocolate', 'large', ''], ['an espresso macchiato', 'medium', '']]
84:Kevin Costner-[['an espresso con panna', 'large', 'a lemon pound cake'], ['a flat white', 'small', 'a slice of banana bread'], ['a white hot chocolate', 'large', 'a chocolate chip cookie']]
85:Kaley Cuoco-[['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['a breakfast tea', 'small', 'an almond croissant']]
86:Jon Hamm-[['a green tea', 'large', 'a breakfast tortilla wrap'], ['a green tea', 'large', 'a breakfast tortilla wrap'], ['a green tea', 'large', 'a breakfast tortilla wrap']]
87:Joshua Jackson-[['an espresso con panna', 'large', 'an everything bagel'], ['an iced hot chocolate', 'large', ''], ['a mocha', 'large', 'a breakfast tortilla wrap']]
88:Chloe Grace Moretz-[['a cordusio', 'large', ''], ['an americano', 'large', 'a classic oatmeal'], ['a salted caramel hot chocolate', 'medium', '']]
89:Jennifer Lawrence-[['an espresso macchiato', 'small', 'an almond croissant'], ['an espresso macchiato', 'small', 'an almond croissant'], ['an espresso macchiato', 'small', 'an almond croissant']]
90:Ashley Benson-[['a latte', 'small', 'a blueberry muffin'], ['a peppermint hot chocolate', 'small', ''], ['an americano', 'small', 'a slice of banana bread']]
91:Noah Wyle-[['a breakfast tea', 'large', 'a plain bagel'], ['an americano', 'medium', 'a classic oatmeal'], ['an espresso', 'medium', 'a double chocolate muffin']]
92:Robert Pattinson-[['a hot chocolate', 'small', 'a pain aux raisins'], ['an espresso', 'large', ''], ['a peppermint hot chocolate', 'small', 'a doughnut']]
93:Jesse Tyler Ferguson-[['a cappuccino', 'large', ''], ['a cappuccino', 'large', ''], ['an iced hot chocolate', 'medium', 'a doughnut']]
94:Leonardo DiCaprio-[['a mocha', 'large', 'an everything bagel'], ['an espresso', 'medium', ''], ['an espresso', 'medium', '']]
95:Matthew McConaughey-[['a caramel macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['a caramel macchiato', 'large', '']]
96:Mayim Bialik-[['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', '']]
97:James Spader-[['a black tea', 'medium', ''], ['a black tea', 'medium', ''], ['a salted caramel hot chocolate', 'medium', '']]
98:Cate Blanchett-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a salted caramel hot chocolate', 'medium', '']]
99:Andrew Lincoln-[['a black tea', 'medium', 'a blueberry oatmeal'], ['an Earl Grey', 'small', 'a carrot cake'], ['a cappuccino', 'medium', 'a blueberry muffin']]
100:Ryan Gosling-[['a green tea', 'medium', 'a blueberry oatmeal'], ['a green tea', 'medium', 'a blueberry oatmeal'], ['a noisette', 'large', 'a carrot cake']]
